Player,Year,RSorPO,Age,Tm,G,FG%,3P%,2P%,FT%,TRB%,AST%,STL%,BLK%,PTS%
Michael Jordan,1985-86,Playoffs,22,CHI,3,0.505,1,0.5,0.872,8.4,26.5,2.5,1.9,43.7
Michael Jordan,1986-87,Playoffs,23,CHI,3,0.417,0.4,0.418,0.897,10.2,30.4,2.5,3.4,35.7
Michael Jordan,1987-88,Playoffs,24,CHI,10,0.531,0.333,0.533,0.869,9.2,23.1,2.9,1.5,36.3
Michael Jordan,1988-89,Playoffs,25,CHI,17,0.51,0.286,0.532,0.799,9.6,38,3.1,1.2,34.8
Michael Jordan,1989-90,Playoffs,26,CHI,16,0.514,0.32,0.54,0.836,10.2,34.5,3.5,1.5,36.7
Michael Jordan,1990-91,Playoffs,27,CHI,17,0.524,0.385,0.534,0.845,9.9,36.7,3.2,2.4,31.1
Michael Jordan,1991-92,Playoffs,28,CHI,22,0.499,0.386,0.508,0.857,9.1,28.3,2.6,1.2,34.5
Michael Jordan,1992-93,Playoffs,29,CHI,19,0.475,0.389,0.489,0.805,10,29.4,2.7,1.6,35.1
Michael Jordan,1994-95,Playoffs,31,CHI,10,0.484,0.367,0.5,0.81,9.5,22.5,3,2.8,31.5
Michael Jordan,1995-96,Playoffs,32,CHI,18,0.459,0.403,0.47,0.818,7.4,21.2,2.5,0.7,30.7
Michael Jordan,1996-97,Playoffs,33,CHI,19,0.456,0.194,0.497,0.831,10.9,25.7,2.1,1.9,31.1
Michael Jordan,1997-98,Playoffs,34,CHI,21,0.462,0.302,0.476,0.812,7.6,19.9,2.1,1.1,32.4
Kobe Bryant,1996-97,Regular Season,18,LAL,71,0.417,0.375,0.437,0.819,6.8,13.8,2.3,1.6,7.6
Kobe Bryant,1997-98,Regular Season,19,LAL,79,0.428,0.341,0.456,0.794,6.7,16,1.8,1.3,15.4
Kobe Bryant,1998-99,Regular Season,20,LAL,50,0.465,0.267,0.494,0.839,8.1,17.5,2,1.9,19.9
Kobe Bryant,1999-00,Regular Season,21,LAL,66,0.468,0.319,0.489,0.821,8.8,22.4,2.2,1.7,22.5
Kobe Bryant,2000-01,Regular Season,22,LAL,68,0.464,0.305,0.489,0.853,8.1,23,2.1,1.1,28.5
Kobe Bryant,2001-02,Regular Season,23,LAL,80,0.469,0.25,0.489,0.829,7.9,25.9,2,0.8,25.2
Kobe Bryant,2002-03,Regular Season,24,LAL,82,0.451,0.383,0.465,0.843,9.3,27.2,2.8,1.4,30
Kobe Bryant,2003-04,Regular Season,25,LAL,65,0.438,0.327,0.463,0.852,8.3,24.4,2.4,0.8,24
Kobe Bryant,2004-05,Regular Season,26,LAL,66,0.433,0.339,0.472,0.816,8.2,28.5,1.7,1.4,27.6
Kobe Bryant,2005-06,Regular Season,27,LAL,80,0.45,0.347,0.482,0.85,7.6,24.1,2.4,0.7,35.4
Kobe Bryant,2006-07,Regular Season,28,LAL,77,0.463,0.344,0.497,0.868,8.2,25.5,1.8,0.9,31.6
Kobe Bryant,2007-08,Regular Season,29,LAL,82,0.459,0.361,0.49,0.84,9,23.9,2.4,0.9,28.3
Kobe Bryant,2008-09,Regular Season,30,LAL,82,0.467,0.351,0.496,0.856,8.2,23.8,2.1,1,26.8
Kobe Bryant,2009-10,Regular Season,31,LAL,73,0.456,0.329,0.487,0.811,7.7,23.8,2.1,0.5,27
Kobe Bryant,2010-11,Regular Season,32,LAL,82,0.451,0.323,0.487,0.828,8.5,26.7,1.9,0.3,25.3
Kobe Bryant,2011-12,Regular Season,33,LAL,58,0.43,0.303,0.464,0.845,7.8,23.7,1.6,0.6,27.9
Kobe Bryant,2012-13,Regular Season,34,LAL,78,0.463,0.324,0.51,0.839,7.9,29.7,1.8,0.6,27.3
Kobe Bryant,2013-14,Regular Season,35,LAL,6,0.425,0.188,0.491,0.857,7.8,34.6,1.9,0.4,13.8
Kobe Bryant,2014-15,Regular Season,36,LAL,35,0.373,0.293,0.401,0.813,9.1,29.9,2,0.5,22.3
Kobe Bryant,2015-16,Regular Season,37,LAL,66,0.358,0.285,0.41,0.826,7.1,19.1,1.7,0.5,17.6
Kobe Bryant,1996-97,Playoffs,18,LAL,9,0.382,0.261,0.469,0.867,5.1,16.4,1.3,1.3,8.2
Kobe Bryant,1997-98,Playoffs,19,LAL,11,0.408,0.214,0.452,0.689,5.8,12.1,0.7,2.7,8.7
Kobe Bryant,1998-99,Playoffs,20,LAL,8,0.43,0.348,0.445,0.8,10,21.7,2.5,2.5,19.8
Kobe Bryant,1999-00,Playoffs,21,LAL,22,0.442,0.344,0.461,0.754,6.6,19.8,2,2.9,21.1
